Date,Location,Team,Opponent,Singles,Doubles,Triples,Home Runs,Total Bases
2023-04-23,Truist Park,Houston Astros,Atlanta Braves,8,1,0,0,10
2023-04-23,Yankee Stadium,New York Yankees,Toronto Blue Jays,4,1,0,1,10
2023-04-23,Yankee Stadium,Toronto Blue Jays,New York Yankees,1,3,0,2,15
2023-04-23,Tropicana Field,Tampa Bay Rays,Chicago White Sox,0,3,0,2,14
2023-04-23,Tropicana Field,Chicago White Sox,Tampa Bay Rays,1,2,0,0,5
2023-04-23,Progressive Field,Cleveland Guardians,Miami Marlins,7,3,1,2,24
2023-04-23,Progressive Field,Miami Marlins,Cleveland Guardians,5,1,0,2,15
2023-04-23,Target Field,Minnesota Twins,Washington Nationals,7,0,0,2,15
2023-04-23,Target Field,Washington Nationals,Minnesota Twins,2,1,0,0,4
2023-04-23,American Family Field,Milwaukee Brewers,Boston Red Sox,3,1,0,2,13
2023-04-23,American Family Field,Boston Red Sox,Milwaukee Brewers,8,2,0,3,24
2023-04-23,Wrigley Field,Chicago Cubs,Los Angeles Dodgers,4,1,0,1,10
2023-04-23,Wrigley Field,Los Angeles Dodgers,Chicago Cubs,3,2,0,3,19
2023-04-23,Globe Life Field,Texas Rangers,Oakland Athletics,7,1,0,1,13
2023-04-23,Globe Life Field,Oakland Athletics,Texas Rangers,4,0,0,1,8
2023-04-23,Angel Stadium,Los Angeles Angels,Kansas City Royals,2,2,0,3,18
2023-04-23,Angel Stadium,Kansas City Royals,Los Angeles Angels,5,0,0,3,17
2023-04-23,Chase Field,Arizona Diamondbacks,San Diego Padres,1,1,1,3,18
2023-04-23,Chase Field,San Diego Padres,Arizona Diamondbacks,3,3,1,1,16
2023-04-23,T-Mobile Park,Seattle Mariners,St. Louis Cardinals,4,1,0,1,10
2023-04-23,T-Mobile Park,St. Louis Cardinals,Seattle Mariners,10,0,0,3,22
2023-04-23,Oracle Park,San Francisco Giants,New York Mets,5,2,0,1,13
2023-04-23,Oracle Park,New York Mets,San Francisco Giants,6,1,0,1,12
2023-04-24,Progressive Field,Cleveland Guardians,Colorado Rockies,3,1,0,0,5
2023-04-24,Progressive Field,Colorado Rockies,Cleveland Guardians,8,1,0,1,14
2023-04-24,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,9,4,0,0,17
2023-04-24,Oriole Park at Camden Yards,Boston Red Sox,Baltimore Orioles,5,0,0,2,13
2023-04-24,Tropicana Field,Tampa Bay Rays,Houston Astros,9,4,1,0,20
2023-04-24,Tropicana Field,Houston Astros,Tampa Bay Rays,1,2,1,2,16
2023-04-24,Great American Ball Park,Cincinnati Reds,Texas Rangers,6,1,1,0,11
2023-04-24,Great American Ball Park,Texas Rangers,Cincinnati Reds,6,2,0,2,18
2023-04-24,Rogers Centre,Toronto Blue Jays,Chicago White Sox,5,2,0,1,13
2023-04-24,Rogers Centre,Chicago White Sox,Toronto Blue Jays,2,1,0,0,4
2023-04-24,Truist Park,Atlanta Braves,Miami Marlins,5,1,1,5,30
2023-04-24,Truist Park,Miami Marlins,Atlanta Braves,2,0,0,0,2
2023-04-24,Target Field,Minnesota Twins,New York Yankees,7,1,1,1,16
2023-04-24,Target Field,New York Yankees,Minnesota Twins,5,1,0,0,7
2023-04-24,American Family Field,Milwaukee Brewers,Detroit Tigers,3,0,0,2,11
2023-04-24,American Family Field,Detroit Tigers,Milwaukee Brewers,6,1,0,1,12
2023-04-24,Angel Stadium,Los Angeles Angels,Oakland Athletics,6,4,0,3,26
2023-04-24,Angel Stadium,Oakland Athletics,Los Angeles Angels,7,2,0,5,31
2023-04-24,Chase Field,Arizona Diamondbacks,Kansas City Royals,6,1,0,0,8
2023-04-24,Chase Field,Kansas City Royals,Arizona Diamondbacks,7,2,0,1,15
2023-04-24,Oracle Park,San Francisco Giants,St. Louis Cardinals,6,1,0,1,12
2023-04-24,Oracle Park,St. Louis Cardinals,San Francisco Giants,4,2,0,0,8
2023-04-25,Progressive Field,Cleveland Guardians,Colorado Rockies,3,3,0,0,9
2023-04-25,Progressive Field,Colorado Rockies,Cleveland Guardians,5,2,0,1,13
2023-04-25,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,8,0,0,3,20
2023-04-25,Oriole Park at Camden Yards,Boston Red Sox,Baltimore Orioles,9,1,0,1,15
2023-04-25,PNC Park,Pittsburgh Pirates,Los Angeles Dodgers,9,2,0,1,17
2023-04-25,PNC Park,Los Angeles Dodgers,Pittsburgh Pirates,5,3,0,1,15
2023-04-25,Tropicana Field,Tampa Bay Rays,Houston Astros,4,1,0,0,6
2023-04-25,Tropicana Field,Houston Astros,Tampa Bay Rays,6,5,0,0,16
2023-04-25,Great American Ball Park,Cincinnati Reds,Texas Rangers,10,1,0,0,12
2023-04-25,Great American Ball Park,Texas Rangers,Cincinnati Reds,4,3,0,3,22
2023-04-25,Citizens Bank Park,Philadelphia Phillies,Seattle Mariners,8,1,0,1,14
2023-04-25,Citizens Bank Park,Seattle Mariners,Philadelphia Phillies,3,2,1,2,18
2023-04-25,Rogers Centre,Toronto Blue Jays,Chicago White Sox,6,1,1,2,19
2023-04-25,Rogers Centre,Chicago White Sox,Toronto Blue Jays,4,0,0,0,4
2023-04-25,Citi Field,New York Mets,Washington Nationals,4,1,0,0,6
2023-04-25,Citi Field,Washington Nationals,New York Mets,9,1,0,1,15
2023-04-25,Truist Park,Atlanta Braves,Miami Marlins,5,2,0,3,21
2023-04-25,Truist Park,Miami Marlins,Atlanta Braves,7,1,0,2,17
2023-04-25,Wrigley Field,Chicago Cubs,San Diego Padres,5,0,1,1,12
2023-04-25,Wrigley Field,San Diego Padres,Chicago Cubs,4,1,0,0,6
2023-04-25,Target Field,Minnesota Twins,New York Yankees,1,5,0,2,19
2023-04-25,Target Field,New York Yankees,Minnesota Twins,8,0,0,0,8
2023-04-25,American Family Field,Milwaukee Brewers,Detroit Tigers,2,2,0,1,10
2023-04-25,American Family Field,Detroit Tigers,Milwaukee Brewers,10,1,0,1,16
2023-04-25,Angel Stadium,Los Angeles Angels,Oakland Athletics,8,1,1,0,13
2023-04-25,Angel Stadium,Oakland Athletics,Los Angeles Angels,1,3,1,1,14
2023-04-25,Chase Field,Arizona Diamondbacks,Kansas City Royals,6,3,1,0,15
2023-04-25,Chase Field,Kansas City Royals,Arizona Diamondbacks,9,4,1,0,20
2023-04-25,Oracle Park,San Francisco Giants,St. Louis Cardinals,6,1,0,2,16
2023-04-25,Oracle Park,St. Louis Cardinals,San Francisco Giants,7,1,0,1,13
2023-04-26,Great American Ball Park,Cincinnati Reds,Texas Rangers,4,1,1,1,13
2023-04-26,Great American Ball Park,Texas Rangers,Cincinnati Reds,3,2,0,0,7
2023-04-26,Oriole Park at Camden Yards,Baltimore Orioles,Boston Red Sox,10,1,0,0,12
2023-04-26,Oriole Park at Camden Yards,Boston Red Sox,Baltimore Orioles,5,1,0,1,11
2023-04-26,Rogers Centre,Toronto Blue Jays,Chicago White Sox,8,2,0,1,16
2023-04-26,Rogers Centre,Chicago White Sox,Toronto Blue Jays,4,0,0,0,4
2023-04-26,Progressive Field,Cleveland Guardians,Colorado Rockies,6,3,0,1,16
2023-04-26,Progressive Field,Colorado Rockies,Cleveland Guardians,5,2,0,0,9
2023-04-26,Target Field,Minnesota Twins,New York Yankees,1,0,1,3,16
2023-04-26,Target Field,New York Yankees,Minnesota Twins,8,5,0,1,22
2023-04-26,American Family Field,Milwaukee Brewers,Detroit Tigers,4,2,0,2,16
2023-04-26,American Family Field,Detroit Tigers,Milwaukee Brewers,2,5,0,0,12
2023-04-26,Chase Field,Arizona Diamondbacks,Kansas City Royals,6,0,0,0,6
2023-04-26,Chase Field,Kansas City Royals,Arizona Diamondbacks,5,0,0,0,5
2023-04-26,PNC Park,Pittsburgh Pirates,Los Angeles Dodgers,10,2,0,0,14
2023-04-26,PNC Park,Los Angeles Dodgers,Pittsburgh Pirates,3,0,0,1,7
2023-04-26,Tropicana Field,Tampa Bay Rays,Houston Astros,2,0,0,0,2
2023-04-26,Tropicana Field,Houston Astros,Tampa Bay Rays,5,0,0,0,5
2023-04-26,Citizens Bank Park,Philadelphia Phillies,Seattle Mariners,11,0,0,1,15
2023-04-26,Citizens Bank Park,Seattle Mariners,Philadelphia Phillies,4,2,0,2,16
2023-04-26,Citi Field,New York Mets,Washington Nationals,3,0,1,0,6
2023-04-26,Citi Field,Washington Nationals,New York Mets,6,1,0,1,12
2023-04-26,Truist Park,Atlanta Braves,Miami Marlins,5,1,1,2,18
2023-04-26,Truist Park,Miami Marlins,Atlanta Braves,1,1,0,3,15
2023-04-26,Wrigley Field,Chicago Cubs,San Diego Padres,5,2,0,1,13
2023-04-26,Wrigley Field,San Diego Padres,Chicago Cubs,7,1,1,0,12
2023-04-26,Angel Stadium,Los Angeles Angels,Oakland Athletics,5,4,0,3,25
2023-04-26,Angel Stadium,Oakland Athletics,Los Angeles Angels,4,1,0,1,10
2023-04-26,Oracle Park,San Francisco Giants,St. Louis Cardinals,8,2,1,2,23
2023-04-26,Oracle Park,St. Louis Cardinals,San Francisco Giants,3,3,0,2,17
2023-04-27,Truist Park,Atlanta Braves,Miami Marlins,5,0,0,0,5
2023-04-27,Truist Park,Miami Marlins,Atlanta Braves,9,2,0,0,13
2023-04-27,PNC Park,Pittsburgh Pirates,Los Angeles Dodgers,5,1,0,2,15
2023-04-27,PNC Park,Los Angeles Dodgers,Pittsburgh Pirates,5,0,0,0,5
2023-04-27,Citizens Bank Park,Philadelphia Phillies,Seattle Mariners,4,0,0,0,4
2023-04-27,Citizens Bank Park,Seattle Mariners,Philadelphia Phillies,2,1,0,0,4
2023-04-27,Wrigley Field,Chicago Cubs,San Diego Padres,5,1,0,3,19
2023-04-27,Wrigley Field,San Diego Padres,Chicago Cubs,5,0,0,1,9
2023-04-27,Oracle Park,San Francisco Giants,St. Louis Cardinals,4,2,0,0,8
2023-04-27,Oracle Park,St. Louis Cardinals,San Francisco Giants,8,2,0,2,20
2023-04-27,Angel Stadium,Los Angeles Angels,Oakland Athletics,5,3,1,1,18
2023-04-27,Angel Stadium,Oakland Athletics,Los Angeles Angels,4,1,0,2,14
2023-04-27,Comerica Park,Detroit Tigers,Baltimore Orioles,7,1,0,0,9
2023-04-27,Comerica Park,Baltimore Orioles,Detroit Tigers,6,1,1,1,15
2023-04-27,Citi Field,New York Mets,Washington Nationals,11,3,1,1,24
2023-04-27,Citi Field,Washington Nationals,New York Mets,6,0,0,2,14
2023-04-27,Guaranteed Rate Field,Chicago White Sox,Tampa Bay Rays,4,5,1,1,21
2023-04-27,Guaranteed Rate Field,Tampa Bay Rays,Chicago White Sox,10,2,1,3,29
2023-04-27,Target Field,Minnesota Twins,Kansas City Royals,6,2,0,2,18
2023-04-27,Target Field,Kansas City Royals,Minnesota Twins,1,1,0,1,7
2023-04-27,Globe Life Field,Texas Rangers,New York Yankees,4,2,0,0,8
2023-04-27,Globe Life Field,New York Yankees,Texas Rangers,5,0,0,3,17
2023-04-28,Target Field,Minnesota Twins,Kansas City Royals,1,3,1,3,22
2023-04-28,Target Field,Kansas City Royals,Minnesota Twins,7,3,1,1,20
2023-04-28,loanDepot park,Miami Marlins,Chicago Cubs,8,0,0,0,8
2023-04-28,loanDepot park,Chicago Cubs,Miami Marlins,8,0,1,1,15
2023-04-28,Rogers Centre,Toronto Blue Jays,Seattle Mariners,5,2,0,1,13
2023-04-28,Rogers Centre,Seattle Mariners,Toronto Blue Jays,4,1,0,1,10
2023-04-28,Fenway Park,Boston Red Sox,Cleveland Guardians,3,5,0,0,13
2023-04-28,Fenway Park,Cleveland Guardians,Boston Red Sox,4,2,0,2,16
2023-04-28,Citi Field,New York Mets,Atlanta Braves,3,0,0,0,3
2023-04-28,Citi Field,Atlanta Braves,New York Mets,3,1,0,1,9
2023-04-28,Guaranteed Rate Field,Chicago White Sox,Tampa Bay Rays,5,0,0,2,13
2023-04-28,Guaranteed Rate Field,Tampa Bay Rays,Chicago White Sox,4,4,0,1,16
2023-04-28,Globe Life Field,Texas Rangers,New York Yankees,5,4,0,1,17
2023-04-28,Globe Life Field,New York Yankees,Texas Rangers,3,2,0,0,7
2023-04-28,Minute Maid Park,Houston Astros,Philadelphia Phillies,2,0,0,1,6
2023-04-28,Minute Maid Park,Philadelphia Phillies,Houston Astros,4,3,0,1,14
2023-04-28,American Family Field,Milwaukee Brewers,Los Angeles Angels,7,0,0,1,11
2023-04-28,American Family Field,Los Angeles Angels,Milwaukee Brewers,9,0,0,0,9
2023-04-28,Coors Field,Colorado Rockies,Arizona Diamondbacks,7,0,0,0,7
2023-04-28,Coors Field,Arizona Diamondbacks,Colorado Rockies,7,2,0,1,15
2023-04-28,Oakland Coliseum,Oakland Athletics,Cincinnati Reds,8,0,1,2,19
2023-04-28,Oakland Coliseum,Cincinnati Reds,Oakland Athletics,10,5,0,1,24
2023-04-28,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,4,3,0,2,18
2023-04-28,Dodger Stadium,St. Louis Cardinals,Los Angeles Dodgers,4,2,0,0,8
2023-04-29,Comerica Park,Detroit Tigers,Baltimore Orioles,3,1,0,1,9
2023-04-29,Comerica Park,Baltimore Orioles,Detroit Tigers,10,0,0,1,14
2023-04-29,Nationals Park,Washington Nationals,Pittsburgh Pirates,6,0,0,1,10
2023-04-29,Nationals Park,Pittsburgh Pirates,Washington Nationals,9,5,1,2,30
2023-04-29,Comerica Park,Detroit Tigers,Baltimore Orioles,11,4,0,1,23
2023-04-29,Comerica Park,Baltimore Orioles,Detroit Tigers,5,2,0,2,17
2023-04-29,Comerica Park,Detroit Tigers,Baltimore Orioles,3,1,0,1,9
2023-04-29,Comerica Park,Baltimore Orioles,Detroit Tigers,10,0,0,1,14
2023-04-29,Nationals Park,Washington Nationals,Pittsburgh Pirates,4,3,1,0,13
2023-04-29,Nationals Park,Pittsburgh Pirates,Washington Nationals,5,3,0,2,19
2023-04-29,Nationals Park,Washington Nationals,Pittsburgh Pirates,6,0,0,1,10
2023-04-29,Nationals Park,Pittsburgh Pirates,Washington Nationals,9,5,1,2,30
2023-04-29,Target Field,Minnesota Twins,Kansas City Royals,8,1,0,1,14
2023-04-29,Target Field,Kansas City Royals,Minnesota Twins,4,2,0,0,8
2023-04-29,Rogers Centre,Toronto Blue Jays,Seattle Mariners,2,1,0,0,4
2023-04-29,Rogers Centre,Seattle Mariners,Toronto Blue Jays,6,0,0,0,6
2023-04-29,loanDepot park,Miami Marlins,Chicago Cubs,9,3,0,0,15
2023-04-29,loanDepot park,Chicago Cubs,Miami Marlins,7,0,0,2,15
2023-04-29,Oakland Coliseum,Oakland Athletics,Cincinnati Reds,6,1,0,0,8
2023-04-29,Oakland Coliseum,Cincinnati Reds,Oakland Athletics,6,2,0,1,14
2023-04-29,Fenway Park,Boston Red Sox,Cleveland Guardians,12,3,0,1,22
2023-04-29,Fenway Park,Cleveland Guardians,Boston Red Sox,11,1,0,2,21
2023-04-29,Minute Maid Park,Houston Astros,Philadelphia Phillies,4,1,0,1,10
2023-04-29,Minute Maid Park,Philadelphia Phillies,Houston Astros,4,6,0,2,24
2023-04-29,Estadio Alfredo Harp Helu,San Diego Padres,San Francisco Giants,6,5,0,6,40
2023-04-29,Estadio Alfredo Harp Helu,San Francisco Giants,San Diego Padres,4,4,0,5,32
2023-04-29,Globe Life Field,Texas Rangers,New York Yankees,3,1,0,1,9
2023-04-29,Globe Life Field,New York Yankees,Texas Rangers,3,0,0,0,3
2023-04-29,Guaranteed Rate Field,Chicago White Sox,Tampa Bay Rays,2,2,0,0,6
2023-04-29,Guaranteed Rate Field,Tampa Bay Rays,Chicago White Sox,4,2,0,5,28
2023-04-29,American Family Field,Milwaukee Brewers,Los Angeles Angels,3,2,0,0,7
2023-04-29,American Family Field,Los Angeles Angels,Milwaukee Brewers,9,0,0,2,17
2023-04-29,Coors Field,Colorado Rockies,Arizona Diamondbacks,4,3,1,0,13
2023-04-29,Coors Field,Arizona Diamondbacks,Colorado Rockies,9,5,0,2,27
2023-04-29,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,4,1,0,0,6
2023-04-29,Dodger Stadium,St. Louis Cardinals,Los Angeles Dodgers,3,0,0,0,3
2023-08-12,Citi Field,New York Mets,Atlanta Braves,4,1,0,1,10
2023-08-12,Citi Field,Atlanta Braves,New York Mets,11,5,0,6,45
2023-04-30,loanDepot park,Miami Marlins,Chicago Cubs,6,2,0,0,10
2023-04-30,loanDepot park,Chicago Cubs,Miami Marlins,6,1,1,1,15
2023-04-30,Fenway Park,Boston Red Sox,Cleveland Guardians,3,4,0,2,19
2023-04-30,Fenway Park,Cleveland Guardians,Boston Red Sox,3,1,0,0,5
2023-04-30,Nationals Park,Washington Nationals,Pittsburgh Pirates,12,3,0,0,18
2023-04-30,Nationals Park,Pittsburgh Pirates,Washington Nationals,4,2,0,0,8
2023-04-30,Rogers Centre,Toronto Blue Jays,Seattle Mariners,10,3,0,1,20
2023-04-30,Rogers Centre,Seattle Mariners,Toronto Blue Jays,3,0,0,4,19
2023-04-30,Comerica Park,Detroit Tigers,Baltimore Orioles,4,2,0,1,12
2023-04-30,Comerica Park,Baltimore Orioles,Detroit Tigers,3,4,0,2,19
2023-04-30,Target Field,Minnesota Twins,Kansas City Royals,5,1,0,1,11
2023-04-30,Target Field,Kansas City Royals,Minnesota Twins,6,4,0,0,14
2023-04-30,Guaranteed Rate Field,Chicago White Sox,Tampa Bay Rays,14,2,0,2,26
2023-04-30,Guaranteed Rate Field,Tampa Bay Rays,Chicago White Sox,8,1,0,4,26
2023-04-30,American Family Field,Milwaukee Brewers,Los Angeles Angels,1,2,0,0,5
2023-04-30,American Family Field,Los Angeles Angels,Milwaukee Brewers,3,0,0,2,11
2023-04-30,Globe Life Field,Texas Rangers,New York Yankees,3,4,0,4,27
2023-04-30,Globe Life Field,New York Yankees,Texas Rangers,7,1,0,0,9
2023-04-30,Coors Field,Colorado Rockies,Arizona Diamondbacks,8,7,0,1,26
2023-04-30,Coors Field,Arizona Diamondbacks,Colorado Rockies,3,3,0,1,13
2023-04-30,Estadio Alfredo Harp Helu,San Diego Padres,San Francisco Giants,6,2,1,1,17
2023-04-30,Estadio Alfredo Harp Helu,San Francisco Giants,San Diego Padres,5,1,0,3,19
2023-04-30,Oakland Coliseum,Oakland Athletics,Cincinnati Reds,7,0,0,2,15
2023-04-30,Oakland Coliseum,Cincinnati Reds,Oakland Athletics,9,2,0,1,17
2023-04-30,Dodger Stadium,Los Angeles Dodgers,St. Louis Cardinals,3,4,0,0,11
2023-04-30,Dodger Stadium,St. Louis Cardinals,Los Angeles Dodgers,8,2,0,0,12
2023-04-30,Minute Maid Park,Houston Astros,Philadelphia Phillies,6,2,0,1,14
2023-04-30,Minute Maid Park,Philadelphia Phillies,Houston Astros,3,0,0,2,11
2023-05-01,Citi Field,New York Mets,Atlanta Braves,5,3,0,1,15
2023-05-01,Citi Field,Atlanta Braves,New York Mets,3,3,0,0,9
2023-05-01,Citi Field,New York Mets,Atlanta Braves,5,0,1,3,20
2023-05-01,Citi Field,Atlanta Braves,New York Mets,4,1,0,4,22
2023-05-01,Citi Field,New York Mets,Atlanta Braves,5,3,0,1,15
2023-05-01,Citi Field,Atlanta Braves,New York Mets,3,3,0,0,9
2023-05-01,Nationals Park,Washington Nationals,Chicago Cubs,3,2,0,1,11
2023-05-01,Nationals Park,Chicago Cubs,Washington Nationals,5,3,0,2,19
2023-05-01,Yankee Stadium,New York Yankees,Cleveland Guardians,5,0,0,1,9
2023-05-01,Yankee Stadium,Cleveland Guardians,New York Yankees,5,0,0,0,5
2023-05-01,Fenway Park,Boston Red Sox,Toronto Blue Jays,8,2,0,3,24
2023-05-01,Fenway Park,Toronto Blue Jays,Boston Red Sox,5,3,0,1,15
2023-05-01,Minute Maid Park,Houston Astros,San Francisco Giants,9,1,0,0,11
2023-05-01,Minute Maid Park,San Francisco Giants,Houston Astros,3,0,0,2,11
2023-05-01,Petco Park,San Diego Padres,Cincinnati Reds,11,4,0,1,23
2023-05-01,Petco Park,Cincinnati Reds,San Diego Padres,6,1,0,1,12
2023-05-01,Dodger Stadium,Los Angeles Dodgers,Philadelphia Phillies,8,3,0,4,30
2023-05-01,Dodger Stadium,Philadelphia Phillies,Los Angeles Dodgers,7,0,1,1,14
2023-05-02,Tropicana Field,Tampa Bay Rays,Pittsburgh Pirates,4,1,0,1,10
2023-05-02,Tropicana Field,Pittsburgh Pirates,Tampa Bay Rays,2,3,0,0,8
2023-05-02,loanDepot park,Miami Marlins,Atlanta Braves,3,1,0,0,5
2023-05-02,loanDepot park,Atlanta Braves,Miami Marlins,5,3,0,1,15
2023-05-02,Nationals Park,Washington Nationals,Chicago Cubs,7,2,0,0,11
2023-05-02,Nationals Park,Chicago Cubs,Washington Nationals,5,2,0,1,13
2023-05-02,Yankee Stadium,New York Yankees,Cleveland Guardians,6,1,0,2,16
2023-05-02,Yankee Stadium,Cleveland Guardians,New York Yankees,5,1,0,0,7
2023-05-02,Fenway Park,Boston Red Sox,Toronto Blue Jays,6,4,0,4,30
2023-05-02,Fenway Park,Toronto Blue Jays,Boston Red Sox,6,1,0,1,12
2023-05-02,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,4,0,0,1,8
2023-05-02,Guaranteed Rate Field,Minnesota Twins,Chicago White Sox,1,1,0,1,7
2023-05-02,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,2,1,0,4,20
2023-05-02,Kauffman Stadium,Baltimore Orioles,Kansas City Royals,10,3,0,2,24
2023-05-02,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,3,1,0,0,5
2023-05-02,Busch Stadium,Los Angeles Angels,St. Louis Cardinals,7,0,0,1,11
2023-05-02,Globe Life Field,Texas Rangers,Arizona Diamondbacks,7,2,0,1,15
2023-05-02,Globe Life Field,Arizona Diamondbacks,Texas Rangers,7,0,0,2,15
2023-05-02,Minute Maid Park,Houston Astros,San Francisco Giants,1,2,0,0,5
2023-05-02,Minute Maid Park,San Francisco Giants,Houston Astros,6,1,0,0,8
2023-05-02,Coors Field,Colorado Rockies,Milwaukee Brewers,5,2,0,2,17
2023-05-02,Coors Field,Milwaukee Brewers,Colorado Rockies,4,4,0,0,12
2023-05-02,Petco Park,San Diego Padres,Cincinnati Reds,4,2,0,0,8
2023-05-02,Petco Park,Cincinnati Reds,San Diego Padres,6,0,0,0,6
2023-05-02,Oakland Coliseum,Oakland Athletics,Seattle Mariners,2,1,0,0,4
2023-05-02,Oakland Coliseum,Seattle Mariners,Oakland Athletics,0,2,0,1,8
2023-05-02,Dodger Stadium,Los Angeles Dodgers,Philadelphia Phillies,10,6,0,1,26
2023-05-02,Dodger Stadium,Philadelphia Phillies,Los Angeles Dodgers,1,0,0,1,5
2023-05-03,Comerica Park,Detroit Tigers,New York Mets,4,1,0,2,14
2023-05-03,Comerica Park,New York Mets,Detroit Tigers,5,2,0,3,21
2023-05-03,Comerica Park,Detroit Tigers,New York Mets,4,1,0,2,14
2023-05-03,Comerica Park,New York Mets,Detroit Tigers,5,2,0,3,21
2023-05-03,Comerica Park,Detroit Tigers,New York Mets,8,2,0,2,20
2023-05-03,Comerica Park,New York Mets,Detroit Tigers,3,2,0,0,7
2023-05-03,Globe Life Field,Texas Rangers,Arizona Diamondbacks,6,2,0,4,26
2023-05-03,Globe Life Field,Arizona Diamondbacks,Texas Rangers,5,1,0,4,23
2023-05-03,Minute Maid Park,Houston Astros,San Francisco Giants,4,0,0,1,8
2023-05-03,Minute Maid Park,San Francisco Giants,Houston Astros,5,1,0,1,11
2023-05-03,Petco Park,San Diego Padres,Cincinnati Reds,7,2,0,1,15
2023-05-03,Petco Park,Cincinnati Reds,San Diego Padres,7,0,0,1,11
2023-05-03,Dodger Stadium,Los Angeles Dodgers,Philadelphia Phillies,5,3,1,2,22
2023-05-03,Dodger Stadium,Philadelphia Phillies,Los Angeles Dodgers,7,3,0,0,13
2023-05-03,Tropicana Field,Tampa Bay Rays,Pittsburgh Pirates,5,3,0,2,19
2023-05-03,Tropicana Field,Pittsburgh Pirates,Tampa Bay Rays,4,1,1,1,13
2023-05-03,loanDepot park,Miami Marlins,Atlanta Braves,8,3,0,1,18
2023-05-03,loanDepot park,Atlanta Braves,Miami Marlins,10,2,0,6,38
2023-05-03,Nationals Park,Washington Nationals,Chicago Cubs,7,0,1,0,10
2023-05-03,Nationals Park,Chicago Cubs,Washington Nationals,6,0,0,0,6
2023-05-03,Yankee Stadium,New York Yankees,Cleveland Guardians,6,0,0,2,14
2023-05-03,Yankee Stadium,Cleveland Guardians,New York Yankees,8,1,0,0,10
2023-05-03,Fenway Park,Boston Red Sox,Toronto Blue Jays,11,4,0,0,19
2023-05-03,Fenway Park,Toronto Blue Jays,Boston Red Sox,3,2,0,2,15
2023-05-03,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,11,0,0,1,15
2023-05-03,Guaranteed Rate Field,Minnesota Twins,Chicago White Sox,5,2,0,1,13
2023-05-03,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,7,4,1,1,22
2023-05-03,Kauffman Stadium,Baltimore Orioles,Kansas City Royals,5,1,0,0,7
2023-05-03,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,3,2,0,2,15
2023-05-03,Busch Stadium,Los Angeles Angels,St. Louis Cardinals,9,1,0,3,23
2023-05-03,Coors Field,Colorado Rockies,Milwaukee Brewers,5,3,0,2,19
2023-05-03,Coors Field,Milwaukee Brewers,Colorado Rockies,4,1,0,0,6
2023-05-03,Oakland Coliseum,Oakland Athletics,Seattle Mariners,3,3,0,0,9
2023-05-03,Oakland Coliseum,Seattle Mariners,Oakland Athletics,7,2,0,2,19
2023-05-04,Nationals Park,Washington Nationals,Chicago Cubs,4,0,0,2,12
2023-05-04,Nationals Park,Chicago Cubs,Washington Nationals,4,2,0,0,8
2023-05-04,Comerica Park,Detroit Tigers,New York Mets,2,1,0,2,12
2023-05-04,Comerica Park,New York Mets,Detroit Tigers,3,0,0,0,3
2023-05-04,Tropicana Field,Tampa Bay Rays,Pittsburgh Pirates,0,2,0,3,16
2023-05-04,Tropicana Field,Pittsburgh Pirates,Tampa Bay Rays,2,2,0,0,6
2023-05-04,Busch Stadium,St. Louis Cardinals,Los Angeles Angels,6,3,0,1,16
2023-05-04,Busch Stadium,Los Angeles Angels,St. Louis Cardinals,13,2,0,1,21
2023-05-04,Kauffman Stadium,Kansas City Royals,Baltimore Orioles,7,5,1,3,32
2023-05-04,Kauffman Stadium,Baltimore Orioles,Kansas City Royals,5,3,0,2,19
2023-05-04,Guaranteed Rate Field,Chicago White Sox,Minnesota Twins,4,2,0,1,12
2023-05-04,Guaranteed Rate Field,Minnesota Twins,Chicago White Sox,2,1,0,2,12
2023-05-04,Coors Field,Colorado Rockies,Milwaukee Brewers,8,3,0,0,14
2023-05-04,Coors Field,Milwaukee Brewers,Colorado Rockies,9,0,1,3,24
2023-05-04,Oakland Coliseum,Oakland Athletics,Seattle Mariners,6,0,1,1,13
2023-05-04,Oakland Coliseum,Seattle Mariners,Oakland Athletics,4,2,0,1,12
2023-05-04,loanDepot park,Miami Marlins,Atlanta Braves,8,1,0,1,14
2023-05-04,loanDepot park,Atlanta Braves,Miami Marlins,7,3,0,2,21
2023-05-04,Fenway Park,Boston Red Sox,Toronto Blue Jays,12,2,0,2,24
2023-05-04,Fenway Park,Toronto Blue Jays,Boston Red Sox,6,2,0,1,14
2023-05-05,Wrigley Field,Chicago Cubs,Miami Marlins,5,2,0,1,13
2023-05-05,Wrigley Field,Miami Marlins,Chicago Cubs,8,0,0,0,8
2023-05-05,PNC Park,Pittsburgh Pirates,Toronto Blue Jays,3,1,0,0,5
